EQUIPO1;GOLESEQUIPO1;GOLESEQUIPO2;EQUIPO2
Argentina;1;2;Arabia Saudita
Polonia;0;0;Mexico
Argentina;2;0;Mexico
Polonia;2;0;Arabia Saudita
Arabia Saudita;1;2;Mexico
Polonia;0;2;Argentina
